,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeElo,AwayElo,HomeAttack,HomeDefend,AwayAttack,AwayDefend
16,20.08.2006,Bielefeld,Stuttgart,2,3,A,0,1,A,15,13,9,9,16,25,4,7,1,1,0,2,-58,-960,1,-3,2,-2
17,20.08.2006,Bochum,Bayern Munich,1,2,A,0,1,A,6,21,4,13,23,25,2,4,1,2,0,0,-75,-4038,1,-1,2,0
18,25.08.2006,Schalke 04,Werder Bremen,2,0,H,1,0,H,12,8,9,6,23,22,7,10,3,3,0,0,-1416,-980,1,0,0,-1
19,26.08.2006,Bayern Munich,Nurnberg,0,0,D,0,0,D,19,9,10,2,12,18,14,4,2,1,0,0,-4028,-245,0,0,0,0
20,26.08.2006,Bochum,Cottbus,0,1,A,0,0,D,21,12,8,5,25,20,9,2,2,6,0,0,-88,-173,0,-1,0,0
21,26.08.2006,Hannover,Aachen,0,3,A,0,1,A,8,5,4,3,7,14,6,1,1,1,0,0,-682,-506,0,-4,2,0
22,26.08.2006,Leverkusen,Wolfsburg,1,1,D,0,0,D,17,15,9,5,18,19,8,6,0,1,1,0,-1295,-1299,1,-1,1,0
23,26.08.2006,M'gladbach,Bielefeld,1,0,H,0,0,D,9,8,5,3,13,10,5,4,0,1,0,0,-1321,-78,0,0,0,-1
24,26.08.2006,Stuttgart,Dortmund,1,3,A,1,2,A,22,9,13,4,18,30,12,6,3,2,0,0,-980,-2867,1,-3,3,0
25,27.08.2006,Hamburg,Hertha,1,1,D,1,0,H,29,13,11,12,19,20,7,9,3,3,1,1,-504,-490,1,0,1,0
26,27.08.2006,Mainz,Ein Frankfurt,1,1,D,0,1,A,13,10,8,4,25,28,5,5,4,0,0,2,-780,-800,1,-1,1,0
27,15.09.2006,Wolfsburg,Hannover,1,2,A,0,0,D,9,11,3,5,27,25,3,3,2,0,0,0,-1300,-681,0,-2,1,-1
28,16.09.2006,Aachen,M'gladbach,4,2,H,2,0,H,14,12,9,7,23,12,3,5,3,2,0,0,-506,-1321,4,-2,3,-2
29,16.09.2006,Bielefeld,Bayern Munich,2,1,H,1,1,D,11,15,6,9,25,12,2,11,3,1,0,0,-78,-4028,1,-1,1,-1
30,16.09.2006,Cottbus,Mainz,2,0,H,0,0,D,10,5,6,2,20,23,3,2,2,1,0,0,-172,-781,1,0,0,-1
31,16.09.2006,Dortmund,Hamburg,1,0,H,0,0,D,19,15,7,10,12,23,11,4,2,1,0,0,-2847,-524,1,0,0,0
32,16.09.2006,Nurnberg,Bochum,1,1,D,1,1,D,22,4,13,4,8,10,8,2,0,0,0,0,-241,-92,0,0,0,-1
33,16.09.2006,Werder Bremen,Stuttgart,2,3,A,2,1,H,17,21,9,12,12,21,8,5,2,3,0,0,-990,-970,1,-3,2,-2
34,17.09.2006,Ein Frankfurt,Leverkusen,3,1,H,0,0,D,16,19,8,12,19,22,4,6,3,4,0,0,-798,-1296,2,0,1,-2
35,17.09.2006,Hertha,Schalke 04,2,0,H,1,0,H,10,14,5,8,19,17,5,8,1,3,0,0,-490,-1416,2,0,0,-1
36,22.09.2006,M'gladbach,Dortmund,1,0,H,1,0,H,9,8,5,3,22,26,5,8,2,3,0,0,-1321,-2847,1,0,0,0
37,23.09.2006,Bayern Munich,Aachen,2,1,H,1,1,D,21,6,13,5,11,23,9,4,2,3,0,0,-4008,-526,1,0,0,-2
38,23.09.2006,Hamburg,Werder Bremen,1,1,D,0,0,D,10,14,4,7,22,25,3,7,2,3,1,0,-533,-981,0,0,0,-1
39,23.09.2006,Hannover,Leverkusen,1,1,D,0,1,A,16,12,8,6,20,15,12,3,2,0,0,0,-691,-1287,0,-1,0,-1
40,23.09.2006,Mainz,Hertha,1,1,D,0,0,D,17,12,11,9,17,16,3,3,1,1,0,0,-774,-497,1,0,1,0
41,23.09.2006,Schalke 04,Wolfsburg,2,0,H,0,0,D,23,10,12,5,12,25,7,4,3,2,0,0,-1392,-1325,1,0,0,-2
42,23.09.2006,Stuttgart,Ein Frankfurt,1,1,D,0,0,D,21,12,10,5,17,11,8,7,0,1,0,0,-966,-803,1,0,1,0
43,24.09.2006,Bochum,Bielefeld,2,1,H,0,1,A,13,17,7,12,21,18,2,5,2,1,0,0,-82,-89,1,0,1,-1
44,24.09.2006,Cottbus,Nurnberg,1,1,D,0,1,A,12,18,5,12,23,19,6,5,2,2,0,0,-174,-239,1,0,1,0
45,29.09.2006,Dortmund,Hannover,2,2,D,1,0,H,13,17,9,8,20,15,3,4,2,2,0,0,-2837,-701,1,-1,2,-1
46,30.09.2006,Aachen,Bochum,2,1,H,0,1,A,12,21,8,11,21,14,2,6,3,2,0,0,-507,-100,2,-1,1,-1
47,30.09.2006,Bielefeld,Cottbus,3,1,H,0,1,A,10,11,5,8,16,27,2,4,2,2,0,0,-76,-187,3,-1,1,-2
48,30.09.2006,Ein Frankfurt,Hamburg,2,2,D,1,0,H,14,9,8,8,21,20,4,1,0,3,0,0,-796,-540,2,-2,2,-1
49,30.09.2006,Nurnberg,Mainz,1,1,D,1,0,H,11,11,5,7,19,18,4,3,2,1,1,0,-248,-765,1,0,1,0
50,30.09.2006,Werder Bremen,M'gladbach,3,0,H,3,0,H,12,7,6,4,18,15,5,3,1,3,0,0,-976,-1326,3,0,0,-2
51,30.09.2006,Wolfsburg,Bayern Munich,1,0,H,1,0,H,7,17,1,10,18,12,2,7,2,1,0,0,-1325,-4008,0,0,0,0
52,01.10.2006,Hertha,Stuttgart,2,2,D,2,1,H,17,18,11,9,21,22,6,2,2,3,0,0,-505,-957,2,-1,2,-1
53,01.10.2006,Leverkusen,Schalke 04,3,1,H,1,1,D,21,12,12,6,27,25,5,10,4,1,0,0,-1275,-1404,3,0,1,-2
54,13.10.2006,Mainz,Aachen,1,3,A,1,2,A,23,10,10,6,7,13,7,4,2,5,0,0,-768,-504,1,-2,2,-1
55,14.10.2006,Bayern Munich,Hertha,4,2,H,2,0,H,16,12,10,5,7,15,4,5,1,3,0,0,-4055,-458,3,-1,2,-3
56,14.10.2006,Bochum,Werder Bremen,0,6,A,0,1,A,12,27,4,16,17,20,3,6,2,1,0,0,-120,-956,0,-5,6,0
57,14.10.2006,Hamburg,Schalke 04,1,2,A,1,1,D,9,10,8,7,32,27,8,2,2,2,1,0,-559,-1384,1,-1,1,-1
58,14.10.2006,Hannover,Ein Frankfurt,1,1,D,1,0,H,14,8,8,3,19,21,7,6,0,1,0,0,-703,-793,1,0,0,-1
59,14.10.2006,M'gladbach,Wolfsburg,3,1,H,2,1,H,11,11,8,6,19,26,5,3,1,2,0,0,-1308,-1342,3,-1,1,-2
60,14.10.2006,Stuttgart,Leverkusen,3,0,H,1,0,H,24,4,16,2,19,14,5,3,0,2,0,1,-951,-1281,3,0,0,-2
61,15.10.2006,Cottbus,Dortmund,2,3,A,1,1,D,18,9,8,7,32,19,7,2,5,3,0,0,-207,-2817,1,-3,2,-2
62,15.10.2006,Nurnberg,Bielefeld,1,1,D,1,1,D,23,7,11,6,7,11,11,3,2,1,0,0,-244,-80,0,0,0,-1
63,20.10.2006,Dortmund,Bochum,1,1,D,1,1,D,18,16,7,6,8,19,4,1,1,1,0,0,-2807,-130,0,-1,0,-2
64,21.10.2006,Aachen,Cottbus,1,2,A,1,0,H,16,15,12,6,23,22,6,0,2,3,0,0,-507,-204,0,-1,1,-1
65,21.10.2006,Bielefeld,Mainz,1,0,H,0,0,D,16,14,5,6,10,20,3,2,2,3,0,0,-80,-769,0,0,0,-1
66,21.10.2006,Hertha,M'gladbach,2,1,H,0,0,D,18,7,13,4,16,21,5,2,0,1,0,0,-458,-1308,2,-1,1,-1
67,21.10.2006,Schalke 04,Hannover,2,1,H,2,0,H,8,4,4,2,24,26,3,2,3,4,0,0,-1364,-723,2,-1,1,-1
68,21.10.2006,Werder Bremen,Bayern Munich,3,1,H,2,1,H,15,13,8,7,14,23,7,4,1,2,0,0,-956,-4055,4,0,1,-2
69,21.10.2006,Wolfsburg,Stuttgart,1,1,D,1,1,D,13,11,7,5,12,16,4,11,1,0,0,0,-1334,-960,1,0,1,0
70,22.10.2006,Ein Frankfurt,Nurnberg,2,2,D,1,1,D,17,11,8,7,15,18,5,1,0,3,0,0,-784,-253,2,-2,2,-1
71,22.10.2006,Leverkusen,Hamburg,1,2,A,1,0,H,13,14,2,9,16,21,8,4,1,1,0,0,-1281,-559,0,-2,1,-1
72,27.10.2006,Mainz,Werder Bremen,1,6,A,0,3,A,15,16,9,12,21,19,4,3,1,0,0,0,-784,-941,0,-5,6,0
73,28.10.2006,Bayern Munich,Ein Frankfurt,2,0,H,2,0,H,19,12,12,8,15,13,5,3,0,0,0,1,-4111,-729,1,0,0,-2
74,28.10.2006,Bochum,Wolfsburg,0,1,A,0,1,A,20,17,13,8,14,19,12,3,2,2,1,0,-150,-1314,0,-1,0,0
75,28.10.2006,Cottbus,Hertha,2,0,H,0,0,D,19,11,7,4,22,21,6,1,2,4,0,1,-198,-464,2,0,0,-1
76,28.10.2006,Hamburg,Hannover,0,0,D,0,0,D,19,12,11,4,25,14,7,4,1,0,0,0,-564,-718,0,0,0,0
77,28.10.2006,M'gladbach,Leverkusen,0,2,A,0,1,A,14,12,8,8,12,19,10,7,0,1,0,0,-1317,-1272,0,-2,1,0
78,28.10.2006,Nurnberg,Dortmund,1,1,D,0,0,D,14,10,9,5,18,23,4,7,1,1,0,0,-263,-2797,1,-1,0,-1
79,29.10.2006,Bielefeld,Aachen,5,1,H,2,0,H,19,9,13,3,7,17,4,3,0,3,0,0,-76,-510,4,0,1,-4
80,29.10.2006,Stuttgart,Schalke 04,3,0,H,1,0,H,18,16,10,9,24,11,6,7,2,5,0,0,-956,-1368,3,0,0,-2
81,03.11.2006,Hannover,Bochum,0,2,A,0,1,A,8,8,4,5,15,18,6,2,2,2,0,0,-719,-149,0,-2,1,0
82,04.11.2006,Aachen,Stuttgart,2,4,A,1,2,A,15,16,7,9,22,25,3,6,1,3,0,0,-529,-938,2,-4,4,-1
83,04.11.2006,Dortmund,Bielefeld,1,1,D,0,0,D,16,7,11,5,16,20,10,3,1,2,0,1,-2787,-86,1,0,1,0
84,04.11.2006,Hertha,Nurnberg,2,1,H,1,0,H,6,16,6,10,16,17,7,6,1,0,0,0,-449,-278,1,-1,1,-1
85,04.11.2006,Leverkusen,Mainz,1,1,D,1,1,D,20,4,10,3,19,24,10,2,3,3,0,1,-1263,-792,0,0,0,-2
86,04.11.2006,Werder Bremen,Cottbus,1,1,D,0,0,D,14,10,9,6,20,28,9,7,2,5,0,0,-931,-208,2,0,1,0
87,04.11.2006,Wolfsburg,Hamburg,1,0,H,1,0,H,11,18,5,12,20,20,5,6,2,1,0,0,-1295,-583,1,0,0,0
88,05.11.2006,Ein Frankfurt,M'gladbach,1,0,H,0,0,D,19,5,12,2,21,27,7,4,2,1,0,1,-728,-1318,0,0,0,-1
89,05.11.2006,Schalke 04,Bayern Munich,2,2,D,2,1,H,21,10,12,5,18,21,4,3,1,3,0,0,-1378,-4101,2,-2,2,-1
90,07.11.2006,Dortmund,Aachen,0,0,D,0,0,D,24,5,12,2,21,22,16,3,2,1,0,0,-2777,-539,0,0,-1,-1
91,07.11.2006,Mainz,Wolfsburg,1,2,A,1,1,D,9,5,8,4,20,19,8,1,2,1,0,0,-811,-1276,0,-2,2,0
92,07.11.2006,Nurnberg,Werder Bremen,1,2,A,0,1,A,9,10,4,6,22,16,7,3,2,3,0,0,-298,-912,1,-1,2,0
93,07.11.2006,Stuttgart,Hamburg,2,0,H,0,0,D,13,18,7,8,26,15,6,4,1,2,0,0,-900,-621,3,0,0,-1
94,08.11.2006,Bayern Munich,Hannover,0,1,A,0,1,A,15,6,6,2,24,12,12,4,2,0,0,0,-4101,-719,0,-1,0,0
95,08.11.2006,Bielefeld,Hertha,2,2,D,1,1,D,16,8,8,5,20,20,3,6,1,4,0,0,-94,-441,1,-1,2,-1
96,08.11.2006,Bochum,Leverkusen,1,3,A,0,2,A,16,13,8,5,15,18,10,3,1,1,0,1,-169,-1243,1,-3,3,0
97,08.11.2006,Cottbus,Ein Frankfurt,0,1,A,0,1,A,16,20,7,9,18,26,7,6,2,0,0,0,-227,-709,0,0,0,0
98,08.11.2006,M'gladbach,Schalke 04,0,2,A,0,2,A,16,17,4,6,24,25,3,4,2,2,0,0,-1330,-1366,0,-1,1,0
99,10.11.2006,Werder Bremen,Dortmund,1,3,A,1,1,D,16,13,13,6,19,32,11,2,3,4,0,0,-932,-2757,1,-3,3,0
100,11.11.2006,Ein Frankfurt,Bielefeld,0,3,A,0,1,A,14,9,9,6,12,10,5,1,3,3,0,0,-710,-94,0,-2,2,0
101,11.11.2006,Hamburg,M'gladbach,1,1,D,0,0,D,20,8,12,6,18,31,3,1,1,2,0,0,-631,-1320,0,-1,0,-1
102,11.11.2006,Hertha,Bochum,3,3,D,1,2,A,16,14,10,9,24,28,5,6,3,3,0,1,-435,-176,2,-3,2,-3
103,11.11.2006,Leverkusen,Bayern Munich,2,3,A,0,1,A,14,17,9,9,16,11,7,6,1,1,0,0,-1263,-4081,2,-3,3,-1
104,11.11.2006,Schalke 04,Mainz,4,0,H,3,0,H,12,10,7,4,16,11,1,10,0,0,0,0,-1292,-885,3,0,0,-3
105,11.11.2006,Wolfsburg,Cottbus,0,0,D,0,0,D,14,14,5,9,20,21,10,7,1,2,0,0,-1266,-237,0,0,0,0
106,12.11.2006,Aachen,Nurnberg,1,1,D,0,1,A,11,30,6,14,14,20,7,7,1,2,1,0,-533,-304,0,-1,0,-1
107,12.11.2006,Hannover,Stuttgart,1,2,A,1,0,H,11,16,6,13,13,25,3,3,0,1,0,1,-734,-885,1,-1,2,0
108,17.11.2006,Bochum,Ein Frankfurt,4,3,H,3,2,H,20,11,15,9,17,13,11,2,0,0,0,1,-175,-710,4,-3,3,-3
109,18.11.2006,Aachen,Werder Bremen,2,2,D,1,0,H,12,19,4,12,17,22,4,9,0,3,0,0,-541,-924,1,-1,1,-2
110,18.11.2006,Bayern Munich,Stuttgart,2,1,H,2,1,H,17,13,9,7,21,29,2,2,1,2,0,0,-4061,-905,2,0,1,-1
111,18.11.2006,Cottbus,Schalke 04,2,4,A,2,2,D,18,12,8,10,16,20,4,5,1,0,0,0,-257,-1272,1,-3,4,-1
112,18.11.2006,Dortmund,Hertha,1,2,A,1,2,A,21,11,13,6,20,16,10,1,0,1,0,0,-2757,-435,1,-1,1,-1
113,18.11.2006,Mainz,Hamburg,0,0,D,0,0,D,12,14,7,9,22,17,6,6,2,3,0,0,-879,-637,0,0,0,0
114,18.11.2006,Nurnberg,Leverkusen,3,2,H,1,1,D,16,13,7,5,19,20,7,10,3,3,0,0,-304,-1263,2,-1,1,-3
115,19.11.2006,Bielefeld,Wolfsburg,0,0,D,0,0,D,18,7,11,3,11,17,5,9,0,2,0,0,-104,-1256,0,0,0,0
116,19.11.2006,M'gladbach,Hannover,0,1,A,0,0,D,14,8,5,7,14,25,5,7,0,5,0,0,-1321,-733,0,-1,0,0
117,24.11.2006,Schalke 04,Bochum,2,1,H,2,0,H,22,12,15,6,14,12,4,7,2,1,0,1,-1252,-195,2,0,0,-2
118,25.11.2006,Ein Frankfurt,Dortmund,1,1,D,1,0,H,19,12,6,8,17,16,8,5,1,2,0,0,-720,-2747,1,-1,1,0
119,25.11.2006,Hamburg,Bayern Munich,1,2,A,1,0,H,8,16,4,8,19,19,3,2,3,4,0,0,-657,-4041,0,-1,1,-1
120,25.11.2006,Hannover,Mainz,1,0,H,0,0,D,21,8,12,3,17,17,5,6,1,1,0,0,-727,-885,0,0,0,0
121,25.11.2006,Hertha,Aachen,2,1,H,1,1,D,15,13,9,8,16,17,7,5,3,1,0,0,-428,-548,1,-1,1,-1
122,25.11.2006,Werder Bremen,Bielefeld,3,0,H,2,0,H,24,3,14,2,11,10,8,3,1,2,0,0,-845,-183,3,0,0,-2
123,25.11.2006,Wolfsburg,Nurnberg,1,1,D,0,1,A,10,9,6,5,16,20,7,1,3,2,0,0,-1246,-313,0,0,0,-1
124,26.11.2006,Leverkusen,Cottbus,3,1,H,1,0,H,22,9,16,8,22,20,9,2,2,2,0,0,-1192,-328,2,-1,0,-3
125,26.11.2006,Stuttgart,M'gladbach,1,0,H,1,0,H,17,11,10,4,16,20,4,5,1,3,0,0,-903,-1322,1,0,0,0
126,01.12.2006,Mainz,Stuttgart,0,0,D,0,0,D,10,16,5,9,19,24,8,6,1,4,0,0,-885,-903,0,0,0,0
127,02.12.2006,Bayern Munich,M'gladbach,1,1,D,1,1,D,20,7,11,4,10,14,12,5,1,1,0,0,-4031,-1332,1,-1,1,0
128,02.12.2006,Bielefeld,Leverkusen,0,0,D,0,0,D,15,5,8,1,13,30,3,2,1,5,0,0,-193,-1182,0,0,0,0
129,02.12.2006,Bochum,Hamburg,2,1,H,1,1,D,10,13,9,7,24,31,2,3,3,4,0,1,-194,-658,1,-1,1,-1
130,02.12.2006,Cottbus,Hannover,0,1,A,0,1,A,4,9,2,5,14,17,3,4,1,1,1,0,-346,-709,0,-1,1,0
131,02.12.2006,Dortmund,Wolfsburg,1,0,H,0,0,D,12,6,6,2,15,15,4,2,2,1,0,0,-2727,-1266,1,0,0,0
132,02.12.2006,Werder Bremen,Hertha,3,1,H,3,1,H,22,15,13,9,14,24,3,6,0,2,0,0,-804,-469,3,0,1,-2
133,03.12.2006,Aachen,Ein Frankfurt,2,3,A,1,2,A,20,11,11,7,18,16,8,5,2,0,0,0,-563,-706,1,-3,3,-1
134,03.12.2006,Nurnberg,Schalke 04,0,0,D,0,0,D,14,9,8,8,18,21,5,2,1,3,0,0,-323,-1242,0,0,0,0
135,08.12.2006,Leverkusen,Hertha,2,1,H,1,1,D,21,10,12,5,24,22,5,3,3,2,0,1,-1162,-488,1,0,0,-2
136,09.12.2006,Bayern Munich,Cottbus,2,1,H,1,0,H,10,13,8,8,14,23,1,3,1,2,0,0,-4011,-366,1,-1,1,-1
137,09.12.2006,Ein Frankfurt,Werder Bremen,2,6,A,1,3,A,17,12,10,9,20,23,15,5,2,2,0,0,-719,-791,2,-5,6,-1
138,09.12.2006,Hamburg,Nurnberg,0,0,D,0,0,D,10,11,6,2,17,23,8,4,1,2,0,0,-651,-331,0,0,0,0
139,09.12.2006,Hannover,Bielefeld,1,1,D,0,0,D,18,8,7,3,17,13,9,5,1,1,0,0,-700,-202,1,-1,1,0
140,09.12.2006,M'gladbach,Mainz,1,1,D,1,0,H,9,14,7,6,22,18,6,4,1,2,0,0,-1324,-894,1,-1,1,0
141,09.12.2006,Stuttgart,Bochum,1,0,H,0,0,D,18,13,7,8,15,16,9,5,0,2,0,0,-883,-213,0,0,0,-1
142,10.12.2006,Schalke 04,Dortmund,3,1,H,2,0,H,20,17,17,10,16,18,11,8,1,3,0,0,-1242,-2727,2,0,1,-2
143,10.12.2006,Wolfsburg,Aachen,1,2,A,0,0,D,11,13,6,7,24,25,4,5,1,4,1,0,-1266,-562,0,-1,1,-1
144,15.12.2006,Bochum,M'gladbach,2,0,H,1,0,H,22,10,11,7,14,25,3,6,0,1,0,0,-213,-1324,1,0,0,-1
145,16.12.2006,Aachen,Hamburg,3,3,D,0,1,A,16,27,12,14,21,18,8,10,3,2,0,0,-565,-648,3,-3,3,-2
146,16.12.2006,Bielefeld,Schalke 04,0,1,A,0,0,D,9,9,5,4,16,16,7,2,1,1,0,0,-222,-1223,0,0,0,0
147,16.12.2006,Cottbus,Stuttgart,0,0,D,0,0,D,8,12,2,9,30,32,3,9,1,4,0,0,-375,-874,0,0,0,0
148,16.12.2006,Hertha,Ein Frankfurt,1,0,H,0,0,D,16,15,14,5,23,16,4,3,3,0,0,0,-484,-723,0,0,-1,-2
149,16.12.2006,Mainz,Bayern Munich,0,4,A,0,2,A,9,22,5,13,8,15,4,3,0,0,0,0,-914,-3991,0,-3,3,0
150,16.12.2006,Nurnberg,Hannover,3,1,H,1,1,D,13,8,9,4,18,24,3,5,3,3,0,1,-328,-703,2,0,1,-2
151,17.12.2006,Dortmund,Leverkusen,1,2,A,0,1,A,17,10,10,7,11,21,9,1,0,0,0,0,-2727,-1162,1,-2,2,0
152,17.12.2006,Werder Bremen,Wolfsburg,2,1,H,1,1,D,19,11,15,7,9,26,9,2,0,5,0,0,-790,-1267,3,-1,1,-1
153,26.01.2007,Dortmund,Bayern Munich,3,2,H,1,2,A,12,14,10,6,18,19,4,5,2,2,0,0,-2727,-3991,3,-1,2,-2
154,27.01.2007,Bielefeld,Hamburg,1,1,D,0,1,A,10,8,3,3,15,29,5,3,4,2,0,0,-230,-640,0,0,0,-1
155,27.01.2007,Bochum,Mainz,0,1,A,0,1,A,13,16,8,7,18,27,5,3,1,2,0,0,-233,-894,0,0,0,-1
156,27.01.2007,Cottbus,M'gladbach,3,1,H,2,0,H,16,15,9,8,18,21,3,3,3,3,0,0,-375,-1324,2,-1,1,-2
157,27.01.2007,Ein Frankfurt,Schalke 04,1,3,A,0,1,A,8,10,6,8,23,22,3,10,1,1,0,0,-742,-1204,0,-3,3,0
158,27.01.2007,Hertha,Wolfsburg,2,1,H,1,1,D,12,15,10,9,18,27,5,11,2,3,0,0,-484,-1268,1,0,0,-2
159,27.01.2007,Nurnberg,Stuttgart,4,1,H,1,1,D,19,9,15,5,12,17,6,2,2,3,0,1,-326,-875,4,-1,2,-2
160,28.01.2007,Aachen,Leverkusen,2,3,A,2,1,H,10,21,7,12,24,25,6,4,1,2,0,0,-584,-1143,2,-3,3,-1
161,28.01.2007,Werder Bremen,Hannover,3,0,H,1,0,H,16,12,11,4,9,22,6,7,1,2,0,0,-759,-734,3,0,0,-2
162,30.01.2007,Bayern Munich,Bochum,0,0,D,0,0,D,22,8,12,6,11,21,7,2,1,2,0,0,-3981,-243,0,0,0,0
163,30.01.2007,M'gladbach,Nurnberg,0,0,D,0,0,D,7,7,1,4,21,34,9,3,1,2,0,0,-1314,-336,0,0,0,0
164,30.01.2007,Stuttgart,Bielefeld,3,2,H,1,1,D,15,9,7,5,26,18,9,1,2,4,0,1,-856,-250,3,-2,2,-2
165,30.01.2007,Wolfsburg,Ein Frankfurt,2,2,D,1,0,H,11,15,6,9,22,27,5,3,1,2,0,0,-1259,-751,1,-2,1,-2
166,31.01.2007,Hamburg,Cottbus,1,1,D,1,1,D,23,6,16,2,14,22,11,1,2,1,0,0,-634,-381,0,0,0,-1
167,31.01.2007,Hannover,Hertha,5,0,H,3,0,H,14,10,9,5,19,15,7,3,1,2,0,0,-677,-541,4,0,1,-3
168,31.01.2007,Leverkusen,Werder Bremen,0,2,A,0,1,A,19,18,10,8,19,20,8,8,0,3,1,0,-1145,-757,0,-1,2,0
169,31.01.2007,Mainz,Dortmund,1,0,H,0,0,D,13,13,5,7,21,16,7,1,2,3,0,0,-894,-2727,0,0,0,-1
170,31.01.2007,Schalke 04,Aachen,2,1,H,1,1,D,17,10,11,4,23,23,8,1,1,1,0,0,-1184,-604,1,0,0,-2
171,02.02.2007,Nurnberg,Bayern Munich,3,0,H,1,0,H,9,15,6,8,21,21,3,10,4,3,0,0,-336,-3981,2,0,0,-2
172,03.02.2007,Aachen,Hannover,1,4,A,1,3,A,15,8,10,6,18,34,9,4,1,2,0,0,-616,-665,1,-3,4,0
173,03.02.2007,Bielefeld,M'gladbach,0,2,A,0,1,A,10,12,4,5,14,22,3,4,3,3,0,0,-269,-1294,0,-2,2,0
174,03.02.2007,Cottbus,Bochum,0,0,D,0,0,D,14,12,6,6,15,26,9,4,0,2,0,0,-377,-247,0,0,0,0
175,03.02.2007,Ein Frankfurt,Mainz,0,0,D,0,0,D,13,12,6,5,19,23,8,5,1,1,0,0,-755,-890,0,0,0,0
176,03.02.2007,Hertha,Hamburg,2,1,H,0,1,A,16,18,10,9,18,26,5,4,3,3,0,0,-533,-641,2,-1,1,-1
177,03.02.2007,Wolfsburg,Leverkusen,3,2,H,2,1,H,13,14,9,8,16,20,3,3,1,1,0,1,-1245,-1158,2,-2,2,-2
178,04.02.2007,Dortmund,Stuttgart,0,1,A,0,0,D,10,12,6,5,16,16,7,4,1,1,0,0,-2727,-856,0,0,0,0
179,04.02.2007,Werder Bremen,Schalke 04,0,2,A,0,1,A,15,11,9,6,21,21,4,4,5,5,0,0,-776,-1166,0,-1,1,0
180,09.02.2007,Hannover,Wolfsburg,2,2,D,1,2,A,17,7,11,3,22,22,9,1,3,2,0,0,-674,-1236,2,-1,2,-1
181,10.02.2007,Hamburg,Dortmund,3,0,H,2,0,H,14,7,10,4,19,21,2,2,0,1,0,1,-641,-2727,3,0,0,-2
182,10.02.2007,Leverkusen,Ein Frankfurt,2,2,D,1,1,D,13,14,6,7,23,27,4,5,2,1,1,1,-1150,-763,2,-2,2,-1
183,10.02.2007,Mainz,Cottbus,4,1,H,3,1,H,13,14,9,7,25,23,4,4,2,2,0,0,-830,-437,3,0,1,-3
184,10.02.2007,M'gladbach,Aachen,0,0,D,0,0,D,15,10,5,5,15,14,10,5,2,2,0,0,-1285,-625,0,0,0,0
